exercise,project_type,project,waiting_time,flat_type,estimated_floor_area,estimated_internal_floor_area,units,min_price,max_price,exercise_date,avg_price,avg_floor_area
Dec 2023,prime project,ulu pandan vista,59,4-room,89.0,86.0,672,598000,763000,2023-12-01,680500.0,87.5
Dec 2023,standard projects,petir park edge,48,2-room flexi,39.0,37.0,34,110000,145000,2023-12-01,127500.0,38.0
Dec 2023,standard projects,petir park edge,48,2-room flexi,49.0,47.0,109,144000,190000,2023-12-01,167000.0,48.0
Dec 2023,standard projects,petir park edge,48,4-room,93.0,90.0,191,320000,426000,2023-12-01,373000.0,91.5
Dec 2023,standard projects,jurong arcadia,37,2-room flexi,38.0,36.0,32,110000,140000,2023-12-01,125000.0,37.0
Dec 2023,standard projects,jurong arcadia,37,2-room flexi,48.0,46.0,126,138000,174000,2023-12-01,156000.0,47.0
Dec 2023,standard projects,jurong arcadia,37,3-room,69.0,66.0,80,207000,277000,2023-12-01,242000.0,67.5
Dec 2023,standard projects,jurong arcadia,37,4-room,93.0,90.0,304,315000,394000,2023-12-01,354500.0,91.5
Dec 2023,standard projects,jurong arcadia,37,5-room,113.0,110.0,174,431000,540000,2023-12-01,485500.0,111.5
Dec 2023,standard projects,woodlands beacon,50,3-room,70.0,67.0,91,268000,340000,2023-12-01,304000.0,68.5
Dec 2023,standard projects,woodlands beacon,50,4-room,93.0,90.0,308,318000,446000,2023-12-01,382000.0,91.5
Dec 2023,standard projects,urban rise @ woodlands,51,2-room flexi,40.0,37.0,64,145000,186000,2023-12-01,165500.0,38.5
Dec 2023,standard projects,urban rise @ woodlands,51,2-room flexi,50.0,48.0,133,174000,231000,2023-12-01,202500.0,49.0
Dec 2023,standard projects,urban rise @ woodlands,51,3-room,70.0,67.0,85,251000,345000,2023-12-01,298000.0,68.5
Dec 2023,standard projects,urban rise @ woodlands,51,4-room,94.0,92.0,306,337000,468000,2023-12-01,402500.0,93.0
Dec 2023,standard projects,urban rise @ woodlands,51,5-room,113.0,110.0,260,468000,612000,2023-12-01,540000.0,111.5
Dec 2023,plus project,chai chee green,39/43,3-room,69.0,66.0,97,298000,360000,2023-12-01,329000.0,67.5
Dec 2023,plus project,chai chee green,39/43,4-room,93.0,90.0,627,421000,534000,2023-12-01,477500.0,91.5
Dec 2023,plus project,chai chee green,39/43,5-room,113.0,110.0,260,569000,725000,2023-12-01,647000.0,111.5
Dec 2023,plus project,sin ming residences,32,3-room,69.0,66.0,105,374000,473000,2023-12-01,423500.0,67.5
Dec 2023,plus project,sin ming residences,32,4-room,93.0,90.0,627,519000,665000,2023-12-01,592000.0,91.5
Dec 2023,prime project,alexandra peaks,59,2-room flexi,38.0,36.0,38,218000,277000,2023-12-01,247500.0,37.0
Dec 2023,prime project,alexandra peaks,59,2-room flexi,48.0,46.0,15,332000,343000,2023-12-01,337500.0,47.0
Dec 2023,prime project,alexandra peaks,59,3-room,66.0,63.0,121,380000,512000,2023-12-01,446000.0,64.5
Dec 2023,prime project,alexandra peaks,59,4-room,89.0,86.0,730,533000,723000,2023-12-01,628000.0,87.5
Dec 2023,prime project,ulu pandan vista,59,3-room,66.0,63.0,218,430000,541000,2023-12-01,485500.0,64.5
Dec 2023,prime project,ulu pandan vista,59,4-room,89.0,86.0,672,598000,763000,2023-12-01,680500.0,87.5
Oct 2023,standard projects,rail green i & ii @ cck,39/48,2-room flexi,38.0,36.0,114,106000,132000,2023-10-01,119000.0,37.0
Oct 2023,standard projects,rail green i & ii @ cck,39/48,2-room flexi,48.0,46.0,283,134000,168000,2023-10-01,151000.0,47.0
Oct 2023,standard projects,rail green i & ii @ cck,39/48,3-room,69.0,66.0,152,216000,272000,2023-10-01,244000.0,67.5
Oct 2023,standard projects,rail green i & ii @ cck,39/48,4-room,94.0,91.0,802,319000,437000,2023-10-01,378000.0,92.5
Oct 2023,standard projects,rail green i & ii @ cck,39/48,5-room,114.0,111.0,518,463000,595000,2023-10-01,529000.0,112.5
Oct 2023,standard projects,rail green i & ii @ cck,39/48,3gen,120.0,115.0,26,471000,530000,2023-10-01,500500.0,117.5
Oct 2023,standard projects,plantation edge i & ii,36/40,2-room flexi,38.0,36.0,52,114000,133000,2023-10-01,123500.0,37.0
Oct 2023,standard projects,plantation edge i & ii,36/40,2-room flexi,48.0,46.0,211,142000,183000,2023-10-01,162500.0,47.0
Oct 2023,standard projects,plantation edge i & ii,36/40,3-room,69.0,66.0,81,232000,279000,2023-10-01,255500.0,67.5
Oct 2023,standard projects,plantation edge i & ii,36/40,4-room,93.0,90.0,353,353000,418000,2023-10-01,385500.0,91.5
Oct 2023,standard projects,plantation edge i & ii,36/40,5-room,113.0,110.0,313,460000,568000,2023-10-01,514000.0,111.5
Oct 2023,plus project,rajah residences,52,2-room flexi,38.0,36.0,31,176000,216000,2023-10-01,196000.0,37.0
Oct 2023,plus project,rajah residences,52,2-room flexi,48.0,46.0,101,214000,294000,2023-10-01,254000.0,47.0
Oct 2023,plus project,rajah residences,52,4-room,93.0,90.0,607,480000,675000,2023-10-01,577500.0,91.5
Oct 2023,plus project,tenteram vantage,45,3-room,69.0,66.0,88,339000,420000,2023-10-01,379500.0,67.5
Oct 2023,plus project,tenteram vantage,45,4-room,93.0,90.0,952,488000,628000,2023-10-01,558000.0,91.5
Oct 2023,prime project,verandah @ kallang,42,2-room flexi,39.0,36.0,28,193000,237000,2023-10-01,215000.0,37.5
Oct 2023,prime project,verandah @ kallang,42,2-room flexi,49.0,46.0,112,240000,303000,2023-10-01,271500.0,47.5
Oct 2023,prime project,verandah @ kallang,42,3-room,69.0,66.0,110,368000,475000,2023-10-01,421500.0,67.5
Oct 2023,prime project,verandah @ kallang,42,4-room,93.0,90.0,893,535000,675000,2023-10-01,605000.0,91.5
Oct 2023,prime project,tanglin halt cascadia,54,3-room,66.0,63.0,155,364000,509000,2023-10-01,436500.0,64.5
Oct 2023,prime project,tanglin halt cascadia,54,4-room,89.0,86.0,818,537000,702000,2023-10-01,619500.0,87.5
